"row","continent","location","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","hospital_beds_per_thousand","life_expectancy","human_development_index","total_cases","new_cases","total_deaths","positive_rate","stringency_index","reproduction_rate","Tot_dead_pop","incidence"
"165","Africa","Saint Helena","6071","108.9533527","36.85314351","12.26765307","7.961634213","24533.86198","0.845319139","231.5479732","8.172148175","11.04566107","38.1386037","3.423563834","80.56","0.815548256","403.8","9.6","1.7","0.0062","75.096","1.437","2.448736868","6651.293032"
"171","Africa","Sao Tome and Principe","219161","212.841","18.7","2.886","2.162","3052.714","32.3","270.113","2.42","3.658815015","33.23470176","2.9","70.39","0.625","997.9102902","6.002638522","17.21555588","0.062685927","68.6741344","0.734311961","1.900651626","455.3320573"
"173","Africa","Senegal","16743930","82.328","18.7","3.008","1.796","2470.58","38","241.219","2.42","0.4","16.6","1.165094084","67.94","0.512","15304.08273","96.30514191","392.440464","0.082236813","45.62743405","1.032867026","1.388061662","91.40078064"
"175","Africa","Seychelles","98340","208.354","36.2","8.606","5.586","26382.287","1.1","242.648","10.55","7.1","35.7","3.6","73.4","0.796","741.5273632","12.37810945","101.8081116","0.053775852","45.67326976","0.7385437","3.015471476","754.0445019"
"176","Africa","Sierra Leone","7976985","104.7","19.1","2.538","1.285","1390.3","52.2","325.721","2.42","8.8","41.3","1.427531473","54.7","0.452","2194.825974","10.48831169","63.5075319","0.02879987","46.88513375","1.016888307","0.952373211","27.5144804"
"181","Africa","Somalia","15893219","23.5","16.8","2.731","1.496","3464.204596","36.3391673","365.769","6.05","3.379035836","28.0555981","0.9","57.4","0.563818089","4106.705","33.31","142.4014137","0.035115946","39.27899188","0.812107128","0.998254322","25.83935325"
"182","Africa","South Africa","59308690","46.754","27.3","5.344","3.053","12294.876","18.9","200.38","5.52","8.1","33.2","2.32","64.13","0.709","655658.5347","3618.336509","18820.79527","0.112505276","58.28691781","1.091053288","2.50288605","1105.50163"
"185","Africa","South Sudan","11193729","100.0010045","19.2","3.441","2.032","1569.888","38.87844278","280.775","10.43","3.152326675","29.7089483","1.585451333","57.85","0.433","3484.468421","27.56052632","62.27610784","0.083444573","66.46503876","0.876684826","0.817134287","31.12875451"
"188","Africa","Sudan","43849269","23.258","19.7","3.548","2.034","4466.507","31.88597971","431.388","15.67","3.84326437","33.96076757","0.8","65.31","0.51","15516.70665","82.10605275","969.5786569","0.045651992","54.13487111","1.054322896","1.36383051","35.38646596"
"195","Africa","Tanzania","59734213","64.699","17.7","3.108","1.874","2683.304","49.1","217.288","5.75","3.3","26.7","0.7","65.46","0.529","461.8025","1.2725","21.71665308","0.009316975","24.203865","0.118897687","0.13467256","0.773095479"
"198","Africa","Togo","8278737","143.366","19.4","2.839","1.525","1429.813","49.2","280.033","6.15","0.9","14.2","0.7","61.04","0.515","2863.091893","30.84703175","49.86021301","0.036097491","55.05973163","1.063881948","0.846503098","34.58367977"
"201","Africa","Tunisia","11818618","74.228","32.7","8.001","5.075","10849.297","2","318.991","8.52","1.1","65.8","2.3","76.7","0.74","77698.33252","696.75","2567.803858","0.10574124","57.5772593","1.088921215","2.338989457","657.423165"
"204","Africa","Uganda","45741000","213.759","16.4","2.168","1.308","1697.707","41.6","213.333","2.5","3.4","16.7","0.5","63.37","0.544","15976.17468","104.8","148.780154","0.044217465","68.0394577","1.112403929","0.628661182","34.92747137"
"217","Africa","Zambia","18383956","22.995","17.7","2.48","1.542","3689.251","57.5","234.499","3.94","3.1","24.7","2","63.89","0.584","24631.78392","228.4974874","420.3570533","0.067176127","45.84331658","0.979011343","1.377769258","133.9852202"
"218","Africa","Zimbabwe","14862927","42.729","19.6","2.822","1.882","1899.775","21.4","307.846","1.82","1.6","30.7","1.7","61.49","0.571","12493.83838","95.60353535","450.5880076","0.059775452","74.66958278","1.061306975","1.495769562","84.06041677"
"1","Asia","Afghanistan","38928341","54.422","18.6","2.581","1.337","1803.987","18.64900956","597.029","9.59","3.94820335","32.2794181","0.5","64.83","0.511","34511.83373","137.5249406","1352.62303","0.020539155","39.63753053","1.030502502","1.553233348","88.65477655"
"10","Asia","Armenia","2963234","102.931","35.7","11.232","7.571","8787.58","1.8","341.01","7.11","1.5","52.1","4.2","75.09","0.776","81460.04096","503.1759036","1464.964741","0.197289022","69.39030938","1.078624096","2.694938799","2749.024915"
"14","Asia","Azerbaijan","10139175","119.309","32.4","6.018","3.871","15847.419","2.474357111","559.812","7.11","0.3","42.5","4.7","73","0.756","94940.53976","726.8939759","1264.304774","0.076906344","76.87203432","1.089522184","2.099318121","936.3734205"
"16","Asia","Bahrain","1701583","1935.907","32.4","2.372","1.387","43290.705","0.797861722","151.689","16.52","5.8","37.6","2","77.29","0.852","62206.61283","392.2042755","239.442893","0.039450792","61.26661614","1.086815797","2.15142418","3655.808317"
"17","Asia","Bangladesh","164689383","1265.036","27.5","5.098","3.262","3523.984","14.8","298.003","8.38","1","44.7","0.8","72.59","0.632","316445.0605","1751.199758","4594.655059","0.125415739","78.55519654","1.123051699","1.460881534","192.1466064"
"24","Asia","Bhutan","771612","21.188","28.6","4.885","2.977","8708.597","1.5","217.066","9.75","4.405494818","32.59329141","1.7","71.78","0.654","359.1463415","2.343902439","50.40934784","0.002059566","70.88611707","0.767332144","1.821709453","46.54493988"
"29","Asia","Brunei","437483","81.347","32.4","4.591","2.382","71809.251","0.904035162","201.285","12.79","2","30.9","2.7","75.86","0.838","152.3980344","0.542997543","14.80316777","0.007172717","42.26459947","0.247236512","1.54204233","34.83519003"
"33","Asia","Cambodia","16718971","90.672","25.6","4.412","2.385","3645.07","24.7957922","270.892","4","2","33.7","0.8","69.82","0.594","482.6302895","15.61915367","274.4302954","0.011911465","44.17758271","0.657509897","1.240906156","2.886722451"
"41","Asia","China","1439323774","147.674","38.7","10.641","5.929","15308.712","0.7","261.899","9.74","1.9","48.4","4.34","76.91","0.761","86771.61233","224.0440529","4276.14978","0.022000696","71.80238547","1.025442731","0.598893721","6.028637468"
"74","Asia","Georgia","3989175","65.032","38.7","14.864","10.244","9745.079","4.2","496.218","7.11","5.3","55.5","2.6","73.77","0.812","91466.01909","706.2911695","1100.581978","0.073604307","69.94582339","1.112260188","2.442310608","2292.855517"
"88","Asia","Hong Kong","7496988","7039.714","44.8","16.303","10.158","56054.92","0.407331033","150.4314792","8.33","18.15972969","28.71012469","4.967922362","84.86","0.949","259000.9803","1921.632782","2490.285015","0.04477061","63.85004651","1.177399936","2.522667716","3454.733825"
"91","Asia","India","1380004385","450.419","28.2","5.989","3.414","6426.674","21.2","282.28","10.39","1.9","20.6","0.53","69.66","0.645","5227818.646","34351.95516","77182.20269","0.051934001","67.65620918","1.161707081","1.755333209","378.8262344"
"92","Asia","Indonesia","273523621","145.725","29.3","5.319","3.053","11188.744","5.7","342.864","6.32","2.8","76.1","1.04","71.72","0.718","475110.3382","3887.198068","14271.14819","0.167310195","62.7728744","1.123654306","1.725709089","173.69993"
